V1,V2,Dennis Cliff Smith,
,"DDD2 1 4 , TEXAS ' Tulsa, OK",Oklahoma,
,"Augusta, GA",Georgia,
,"Elizabeth City, NC",North†Carolina,
,"Dallas, TX",Texas,
,"Burleson, TX",Texas,
,"Pontiac, MI",Michigan,
,"Fayetteville, NC",North†Carolina,
,"Dallas, TX",Texas,
,"Goldsboro, NC",North†Carolina,
,"Raleigh, NC",North†Carolina,
,"Orlando, FL",Florida,
,"Dallas, TX",Texas,
,"Austin, TX",Texas,
,TX,Texas,
,"Dallas, TX",Texas,
,"St Bonaventure, NY",New†York,
,"DFW, TX",Texas,
,"KD, ND",North Dakota,
,"Dallas,TX",Texas,
,"Tarboro, NC",North†Carolina,
,"Hershey, PA",Pennsylvania,
,"Grand Prairie, TX",Texas,
,"Raleigh, NC",North†Carolina,
,"Fayetteville, NC",North†Carolina,
,"Knightdale, NC",North†Carolina,
,"Austin, TX",Texas,
,"Atlanta, GA",Georgia,
,"DALLAS, TX",Texas,
,"Rocky Mount, NC",North†Carolina,
,HHS,Maryland,
,Dallas,Pennsylvania,
,"Indianapolis, IN",Indiana,
,"Fayetteville, NC",North†Carolina,
,"Atlanta, GA",Georgia,
,"Dallas, TX",Texas,
,"Jacksonville, FL",Florida,
,"Winston-Salem, NC",North†Carolina,
,"Schertz, TX",Texas,
,"Dallas, TX",Texas,
,"Baltimore, MD",Maryland,
,TX ,Texas,
,"Plano, TX",Texas,
,"Raleigh, NC",North†Carolina,
,"Broward County, FL",Florida,
,"West Hartford, CT",Connecticut,
,"New York, NY",New†York,
,"Mississauga, Ontario",New York,
,"Bowling Green, OH",Ohio,
,OK,Oklahoma,
,"Dallas, TX",Texas,
,Dallas,Pennsylvania,
,"Dallas, TX",Texas,
,"Tyler, TX",Texas,
,"Dallas, TX",Texas,
,"Dallas, TX",Texas,
,"Midland, TX",Texas,
,"El Paso, TX",Texas,
,"Waco, TX",Texas,
,"Greensboro, NC",North†Carolina,
,CT,Connecticut,
,"Americus, GA",Georgia,
,"Lubbock, TX",Texas,
,"DeQueen / Little Rock, AR",Arkansas,
,"Argyle, TX",Texas,
,"Keller, TX",Texas,
,"Portsmouth, VA",Virginia,
,"Laurel, MD",Maryland,
,"Cedar Park, TX",Texas,
,"Dallas, TX",Texas,
,"Wichita Falls, TX",Texas,
,Fayetteville,New York,
,"Raleigh, NC",North†Carolina,
,"New York, NY",New†York,
,"Dallas, TX",Texas,
,"Denton, TX",Texas,
,TX,Texas,
,"Cedar Hill, TX",Texas,
,"Dallas, TX",Texas,
,"Fayetteville, NC",North†Carolina,
,"White Oak, TX",Texas,
,"DFW, TX'¢Õemphis, TN",Tennessee,
,Cedars,Pennsylvania,
,"Dallas, TX",Texas,
,"High Point, NC",North†Carolina,
,"Fayetteville, NC",North†Carolina,
,"Justin, TX",Texas,
,"Shelbyville, IN",Indiana,
,"Fayetteville, NC",North†Carolina,
,"Raleigh, NC",North†Carolina,
,"Manchester, CT",Connecticut,
,"Cary, NC",North†Carolina,
,"Montreal, Canada",Kentucky,
,"Fayetteville, NC",North†Carolina,
,"Tucson, AZ",Arizona,
,"Portland, OR",Oregon,
,"Chicago, IL",Illinois,
,"Southfield, MI",Michigan,
,"Raleigh, NC",North†Carolina,
,"Dallas, TX",Texas,
,"Niantic, CT",Connecticut,
,"Dallas, TX Oak Cliff, TX",Texas,
,"Austin, TX",Texas,
,"Portsmouth, VA",Virginia,
,"Raleigh, NC",North†Carolina,
,NM,New mexico,
,"Oakland, CA",California,
,"Clearfield, UT",Texas,
,"San Diego, CA",California,
,"Stow/Kent, OH",Ohio,
,"Dreamville, NC",North†Carolina,
,Brazil,Indiana,
,"San Jose, CA",California,
,"London, KY",Kentucky,
,"Elgin, SC",South carolina,
,"Crowley, LA",California,
,"Fayetteville, NC",North†Carolina,
,"Sacramento, CA",California,
,"Raleigh, NC",North†Carolina,
,"Chicago, IL",Illinois,
,"Valley Station, KY",Kentucky,
,"San Antonio, TX",Texas,
,"McKinney, TX",Texas,
,"Raleigh, NC",North†Carolina,
,"Pittsburgh, PA",Pennsylvania,
,"Cincinnati, Ohio",Illinois,
,"Mississauga, Ontario",New York,
,"Alsip, IL",Illinois,
,"Burlington, VT",Vermont,
,"Gibsonville, NC",North†Carolina,
,"Kennedale, TX",Texas,
,"Fort Worth, TX",Texas,
,"Tomball, TX",Texas,
,"Cary, NC ",North†Carolina,
,"Centralia, IL",Illinois,
,"Cincinnati, OH",Ohio,
,"Jamestown, NC",North†Carolina,
,"Portland, OR",Oregon,
,"Mesa, AZ",Arizona,
,"Dallas, TX",Texas,
,"Denton, TX",Texas,
,"Raleigh, NC",North†Carolina,
,"Nacogdoches, TX",Texas,
,"Knightdale, NC",North†Carolina,
,"Port Charlotte, FL",Florida,
,"Fort Worth, TX",Texas,
,"St Louis, MO",Missouri,
,"Chicago, IL",Illinois,
,"Dallas, TX",Texas,
,"Henderson, NC",North†Carolina,
,"Fayetteville, NC",North†Carolina,
,"Tampa, FL",Florida,
,"Quincy, MA",Massachusetts,
,New York,New York,
,"Dallas, TX",Texas,
,"West Palm Beach, FL",Florida,
,"Rio Hondo, TX",Texas,
,"Ocala, FL",Florida,
,Earth,Texas,
,"Milwaukee, WI",Wisconsin,
,"Weston, FL",Florida,
,"Alsip, IL",Illinois,
,"Dallas, TX",Texas,
,"Chicago, IL",Illinois,
,"Columbus, OH",Ohio,
,"Atlanta, GA",Georgia,
,"Beaufort, SC",South carolina,
,"Boston, MA",Massachusetts,
,"Chagrin Falls, OH",Ohio,
,"Chengdu,Sichuan,China",Texas,
,"Greensboro, NC",North†Carolina,
,"Buffalo, New York",New York,
,"Savannah, GA",Georgia,
,"High Point, NC",North†Carolina,
,"Greensboro, NC",North†Carolina,
,"Dallas, TX",Texas,
,"Fayetteville, NC",North†Carolina,
,"Las Vegas, NV",Nevada,
,"Raleigh, NC",North†Carolina,
,Manila,Arkansas,
,"Boston, MA",Massachusetts,
,"Los Angeles, CA",California,
,"Bedford, TX",Texas,
,"Marshalltown, IA",Iowa,
,"Memphis, TN",Tennessee,
,"Boise, ID",Idaho,
,"Berwyn, IL",Illinois,
,"Las Vegas, Nevada",Ohio,
,"Philadelphia, PA",Pennsylvania,
,"Leeds, England",Arkansas,
,"Raleigh, NC",North†Carolina,
,"Nashville, TN",Tennessee,
,"Garland, TX",Texas,
,"Katy, TX",Texas,
,"Sweet Dreams, TN",Tennessee,
,Ohio,Illinois,
,"Akron, OH",Ohio,
,"Austin, TX",Texas,
,"Goldsboro,NC",North†Carolina,
,"Raleigh, NC",North†Carolina,
,"Norman, OK",Oklahoma,
,Dallas,Pennsylvania,
,"Kendall West, FL",Florida,
,"Toronto, Ontario",New York,
,"Casa Grande, AZ",Arizona,
,"Duluth, GA - Searcy, AR",Arkansas,
,"San Francisco, CA",California,
,Atlanta,New York,
,"Stuttgart-Sd, Stuttgart",Arkansas,
,Morocco,Indiana,
,"Redmond, WA",Washington,
,"Moorhead, MN",Minnesota,
,Manila,Arkansas,
,"Long Island, NY",New†York,
,"Kansas City, MO",Missouri,
,"Melbourne, Victoria",Virginia,
,"Charleston, WV",West Virginia,
,"Melbourne, Victoria",Virginia,
,"Kalamazoo, MI",Michigan,
,"El Dorado, AR",Arkansas,
,Atlanta,New York,
,"Dallas, TX",Texas,
,"Durham, NC",North†Carolina,
,"Fayetteville, NC",North†Carolina,
,"Grand Prairie, TX",Texas,
,"Rio de Janeiro, Brazil",Indiana,
,"Kinston, NC",North†Carolina,
,"Plaquemine, LA",California,
,"Fayetteville, NC",North†Carolina,
,"Newport, ME",Maine,
,"Wilson, NC",North†Carolina,
,"Cary, NC",North†Carolina,
,"Dallas, TX",Texas,
,"Durham, NC",North†Carolina,
,"Frisco, TX",Texas,
,"Lexington, KY",Kentucky,
,"Boston, MA",Massachusetts,
,Dallas,Pennsylvania,
,"Chapel Hill, NC",North†Carolina,
,"Dallas, TX",Texas,
,"Raleigh, NC",North†Carolina,
,"Cordova, TN",Tennessee,
,"Raleigh, NC",North†Carolina,
,"Winston-Salem, NC",North†Carolina,
,"Southfield, MI",Michigan,
,Roma,Texas,
,"Amarillo, TX",Texas,
,"Olmsted Falls, OH",Ohio,
,"Chicago, IL",Illinois,
,"Fayetteville, NC",North†Carolina,
,"Dallas, TX",Texas,
,"Cary, NC",North†Carolina,
,"Chicago, IL",Illinois,
,"Medford, OR",Oregon,
,"Chicago, IL",Illinois,
,"Bristol, CT",Connecticut,
,"Raleigh, NC",North†Carolina,
,"Rockford, IL",Illinois,
,"Dallas, TX",Texas,
,Earth,Texas,
,"Clemson, SC",South carolina,
,Kansas,Alabama,
,"Rockford, IL",Illinois,
,"Fayetteville, NC",North†Carolina,
,"Shallowater, TX",Texas,
,"Winston-Salem, NC",North†Carolina,
,"Dallas, TX",Texas,
,"Creswell, OR",Oregon,
,"Ontario, Canada",Kentucky,
,"Yonkers, NY",New†York,
,"Gotha, FL",Florida,
,"Morganton, NC",North†Carolina,
,"Trenton, NJ",New jersey,
,KS,Kansas,
,"Raleigh, NC",North†Carolina,
,"Memphis, Tennessee",Illinois,
,"Corona, CA",California,
,"Grand Rapids, MI",Michigan,
,Athens,Maine,
,"Lander, WY",Wyoming,
,"Houston, TX",Texas,
,"Chicago, IL",Illinois,
,"Orlando, FL",Florida,
,"Garland, TX",Texas,
,"Chicago, IL",Illinois,
,"Framingham, MA",Massachusetts,
,"Shippensburg, PA",Pennsylvania,
,"Concordia, KS",Kansas,
,"Fayetteville, NC",North†Carolina,
,"Atlanta, GA",Georgia,
,"Dallas, TX",Texas,
,"Salt Lake City, UT",Texas,
,"Huntsville, AL",Alabama,
,"Bronx, NY",New†York,
,"Los Angeles, CA",California,
,Paradise,Pennsylvania,
,"DFW, TX",Texas,
,"WestOrlando, FL",Florida,
,"Lubbock, TX",Texas,
,China,Texas,
,"Lorain, OH",Ohio,
,"Garden City, KS",Kansas,
,"First 48, TX",Texas,
,"Fort Dodge, IA",Iowa,
,Frisco,North Carolina,
,"Dallas, TX",Texas,
,"Long Island, NY",New†York,
,"UT, Austin",Pennsylvania,
,"Sacramento, CA",California,
, NC,North†Carolina,
,"Raleigh, NC",North†Carolina,
,"Coppell, TX",Texas,
,"Warrenton, VA",Virginia,
,"Bronx, NY",New†York,
,"Murfreesboro, TN",Tennessee,
,"Las Vegas, NV",Nevada,
,"Milwaukee, WI",Wisconsin,
,"Los Angeles, CA",California,
,"High Point, NC",North†Carolina,
,Atlanta,New York,
,"Arlington, TX",Texas,
,"Seattle, WA ",Washington,
,"Dallas, TX",Texas,
,"Dallas, TX",Texas,
,"Dallas, TX",Texas,
,"Frisco, TX",Texas,
,"Frisco, TX",Texas,
,"Chino Hills, CA",California,
,"Melbourne, Victoria",Virginia,
,"Philadelphia, PA",Pennsylvania,
,"Oklahoma City, OK",Oklahoma,
,Lexington,Massachusetts,
,"Indianapolis, IN",Indiana,
,"Boston, MA",Massachusetts,
,"El Centro, CA",California,
,"Dallas, TX",Texas,
,"Pleasantville, NJ",New jersey,
,"Ontario, Canada",Kentucky,
,"Fayetteville, NC",North†Carolina,
,"Raleigh, NC",North†Carolina,
,"Abilene, TX",Texas,
,"Knightdale, NC",North†Carolina,
,"Albuquerque, NM",New mexico,
,"Chanute, KS",Kansas,
,"Dallas, TX",Texas,
,"Newbury Park, CA",California,
,"Whiteville, NC",North†Carolina,
,"Morris, IL",Illinois,
,"Tulsa, OK",Oklahoma,
,"Greenwich, CT",Connecticut,
,"El Paso, TX",Texas,
,"Winder, GA",Georgia,
,"Dallas, TX",Texas,
,Dallas,Pennsylvania,
,"Fuquay-Varina, NC",North†Carolina,
,"San Diego, CA",California,
,"Fayetteville, NC",North†Carolina,
,"Dallas, TX",Texas,
,"Raleigh, NC",North†Carolina,
,Florida,Puerto Rico,
,"Atlanta, GA",Georgia,
,"Philadelphia, PA",Pennsylvania,
,"Dallas, TX",Texas,
,"Baltimore, MD",Maryland,
,"Toronto, Canada",Kentucky,
,"Harrisburg, PA",Pennsylvania,
,"Desoto, TX",Texas,
,"Tucson, AZ",Arizona,
,"Dallas, TX",Texas,
,"Lincoln, NE",Nebraska,
,"Oxford, AL",Alabama,
,TX,Texas,
,"Skokie, IL",Illinois,
,"Denton, TX",Texas,
,"Greensboro, NC",North†Carolina,
,Dallas,Pennsylvania,
,"Fort Worth, TX",Texas,
,"Aberdeen, NC",North†Carolina,
,"Dallas, TX",Texas,
,Canada,Kentucky,
,"Sturgeon Bay, WI",Wisconsin,
,"Fort Worth, TX",Texas,
,"Raleigh, NC",North†Carolina,
,"Charlotte, NC",North†Carolina,
,"Syracuse, NY",New†York,
,"Denton, TX",Texas,
,"Raleigh, NC",North†Carolina,
,"Las Vegas, NV",Nevada,
,"Brooklyn, NY",New†York,
,"Wilson, NC",North†Carolina,
,"Wake Forest, NC",North†Carolina,
,"Dallas, TX",Texas,
,"Sacramento, CA",California,
,"Chicago, IL",Illinois,
,"San Diego, CA",California,
,"Fort Worth, TX",Texas,
,"Atlanta, GA ",Georgia,
,Dallas,Pennsylvania,
,"Arlington, TX",Texas,
,Haverhill ,Massachusetts,
,"Dallas, TX",Texas,
,"Colleyville, TX",Texas,
,Brazil,Indiana,
,"Worcester, MA",Massachusetts,
,"Grand Prairie, TX",Texas,
,San Francisco,California,
,"Dallas, TX",Texas,
,"Miami, OK",Oklahoma,
,TX,Texas,
,"Crewe, England",Arkansas,
,"Fayetteville, NC",North†Carolina,
,"Fayetteville, NC",North†Carolina,
,"Van Alstyne, TX",Texas,
,Kiel,Wisconsin,
,Florida,Puerto Rico,
,"Indianapolis, IN",Indiana,
,"Los Angeles, CA",California,
,"Dallas, TX",Texas,
,"College Station, TX",Texas,
,"Charlotte, NC",North†Carolina,
,"Toronto, Ontario",New York,
,"New York, NY",New†York,
,"Irving, TX",Texas,
,"Boston, MA",Massachusetts,
,"Dallas, TX",Texas,
,"Dallas, TX",Texas,
,"Philadelphia, PA",Pennsylvania,
,"Ealing, London",West Virginia,
,"Katy, TX",Texas,
,"Sugar Land, TX",Texas,
,"Saint Michael, MN",Minnesota,
,"Dallas, TX",Texas,
,"Dallas, TX",Texas,
,"Dallas, TX",Texas,
,"Round Rock, TX",Texas,
,"Dallas, TX",Texas,
,"Tatum, TX",Texas,
,Dallas,Pennsylvania,
,"Winston-Salem, NC",North†Carolina,
,"McKinney, TX",Texas,
,Austin,Pennsylvania,
,"Roanoke, TX",Texas,
,"Plano, TX",Texas,
,"Queens, NY",New†York,
,"Saginaw,MI",Michigan,
,"Fort Worth, TX",Texas,
,"Brea, CA",California,
,Southside,West Virginia,
,"Hillsborough, NC",North†Carolina,
,"Oakville, Ontario",New York,
,"Norman, OK",Oklahoma,
,"Raleigh, NC",North†Carolina,
,"Rocky Mount, NC",North†Carolina,
,"New York, NY",New†York,
,Sacramento,Pennsylvania,
,"Batesville, MS",Mississippi,
,"Chicago, IL",Illinois,
,"Liverpool, England",Arkansas,
,"Cedar Hill, TX",Texas,
,NH,New hampshire,
,Earth,Texas,
,Dallas,Pennsylvania,
,"Pomona, CA",California,
,"Fayetteville, NC",North†Carolina,
,"Dallas, TX",Texas,
,"Atlanta, GA",Georgia,
,"San Diego, CA",California,
,"Fayetteville, NC",North†Carolina,
,"Dallas, TX",Texas,
,Earth,Texas,
,"Youngstown, OH",Ohio,
,"Dallas, TX",Texas,
,Greensboro,Vermont,
,"Not Edinboro, PA",Pennsylvania,
,"Philadelphia, PA",Pennsylvania,
,"Denton, TX",Texas,
,"Los Angeles, CA",California,
,"Dallas, TX",Texas,
,"Wichita, KS",Kansas,
,"Ville Platte, LA",California,
,"Dallas, TX",Texas,
,"Rio Rancho, NM",New mexico,
,"Columbia, SC",South carolina,
,"Dallas, TX",Texas,
,Melbourne ,Florida,
,"Irving, TX",Texas,
,"Toronto, Ontario",New York,
,"Portland, OR",Oregon,
,"Omaha, NE",Nebraska,
,"Plano, TX",Texas,
,"New Orleans, LA",California,
,"Dallas, TX",Texas,
,"Groesbeck, TX",Texas,
,"Lubbock, TX",Texas,
,"Dallas & San Antonio, TX ",Texas,
,"Dallas, TX",Texas,
,"Tabor City, NC",North†Carolina,
,Melbourne,Florida,
,"Buffalo, NY",New†York,
,Florida,Puerto Rico,
,"Fort Worth, TX",Texas,
,"Concord, NC",North†Carolina,
,"Howe, TX",Texas,
,VA,Virginia,
,"Dallas, TX ",Texas,
,DFW,Texas,
,"Fayetteville, NC",North†Carolina,
,"Cottage Lake, WA",Washington,
,"Clinton,NC",North†Carolina,
,"Lynn, MA",Massachusetts,
,"Milwaukee, WI",Wisconsin,
,"Red Springs, NC",North†Carolina,
,"Denton, TX",Texas,
,"Wahoo, NE",Nebraska,
,"Dallas, TX",Texas,
,"Dallas, TX",Texas,
,"Dallas, TX",Texas,
,"Dallas, TX",Texas,
,"Flint, MI",Michigan,
,"Arenzville, IL",Illinois,
,"Lewisville,  TX",Texas,
,"Fayetteville, NC",North†Carolina,
,"Raleigh, NC",North†Carolina,
,"Fayetteville, NC",North†Carolina,
,"Toronto, Ontario",New York,
,"Mesquite, TX ¬®Fort Smith, AR",Arkansas,
,"St Paul, MN",Minnesota,
,"Revere, MA",Massachusetts,
,"Conway, AR",Arkansas,
,Dallas,Pennsylvania,
,"Oklahoma City, OK",Oklahoma,
,"Jacksonville,FL ",Florida,
,MS,Mississippi,
,"Frankfort, KY",Kentucky,
,"Fayetteville, NC",North†Carolina,
,"Murfreesboro, TN",Tennessee,
,"College Station, TX",Texas,
,"Sanger, TX-Salina, KS",Kansas,
,"Raleigh, NC",North†Carolina,
,TX,Texas,
,"Indianapolis, IN",Indiana,
,"Normanton, England",Arkansas,
,"Kings Park, Virginia",Minnesota,
,"Fort Worth, TX",Texas,
,"Fayetteville, NC",North†Carolina,
,"Grand Rapids, MI",Michigan,
,"Aberdeen, NC",North†Carolina,
,"Kingstree, SC",South carolina,
,"Ewa Beach, HI",Hawaii,
,"Modesto, CA",California,
,Dallas,Pennsylvania,
,"High Point, NC",North†Carolina,
,"Oklahoma City, OK",Oklahoma,
,"Compton, CA",California,
,"Online|  Las Vegas, NV",Nevada,
,Toronto,Ohio,
,DFW,Texas,
,"Dallas, TX",Texas,
,"Wylie, TX",Texas,
,"Tallassee, AL",Alabama,
,"Chicago, IL",Illinois,
,"Vidalia, GA",Georgia,
,Dallas,Pennsylvania,
,"San Francisco, CA",California,
,Hamburg,New Jersey,
,"East Columbus, MS",Mississippi,
,"Jersey City, NJ",New jersey,
,"Lake Highlands Square, Dallas",Pennsylvania,
,Dallas,Pennsylvania,
,"Fayetteville, NC",North†Carolina,
,NC,North†Carolina,
,"Oakland, CA",California,
,"Plano, TX",Texas,
,"Dallas, TX",Texas,
,"Dallas, TX",Texas,
,"Nashville, TN",Tennessee,
,"Charlotte, NC",North†Carolina,
,"Asheville, NC",North†Carolina,
,"Raleigh, NC",North†Carolina,
,"Arlington, TX",Texas,
,"Fayetteville, NC",North†Carolina,
,"Tyler, TX",Texas,
,"Ashburn, VA",Virginia,
,"Indiana, USA,Italy",Texas,
,"Charlotte, NC",North†Carolina,
,"Edmonton, Alberta",Virginia,
,"Dallas, TX",Texas,
,"Frisco, TX",Texas,
,"Coppell, TX",Texas,
,"Arlington, TX",Texas,
,"Grapevine, TX",Texas,
,"Dallas, TX",Texas,
,"Bismarck, ND",North Dakota,
,KC,Missouri,
,"Manassas, VA",Virginia,
,"Texas, DFW",Texas,
,TX,Texas,
,"Dallas, TX",Texas,
,"Lake City, SC",South carolina,
,Dallas,Pennsylvania,
,"Fort Worth, TX",Texas,
,"Avalon, TX",Texas,
,"Lucasville, OH",Ohio,
,Boston,Massachusetts,
,"Lindale, TX - Marshall, TX",Texas,
,"Wake Forest, NC",North†Carolina,
,"Rio de Janeiro, Brazil",Indiana,
,"Dallas, TX and Las Vegas, NV",Nevada,
,"Irving, TX",Texas,
,"Kinston, NC",North†Carolina,
,"Los Angeles, CA",California,
,"Roanoke, VA",Virginia,
,"Seattle, WA",Washington,
,Dallas,Pennsylvania,
,"Pflugerville, TX",Texas,
,Waco,North Carolina,
,"Logan, UT",Texas,
,"Bedford, TX",Texas,
,"Arlington, TX",Texas,
,"Provo, UT",Texas,
,"Addison, TX",Texas,
,"Frisco, TX",Texas,
,"Columbus, OH",Ohio,
,"Dallas, TX",Texas,
,"McKinney, TX",Texas,
,"San Diego, CA",California,
,Los Angeles,California,
,"Grand Prairie, TX",Texas,
,"Norman, OK",Oklahoma,
,"Mansfield, TX",Texas,
,"Adams, MA",Massachusetts,
,Melbourne ,Florida,
,"Dallas, TX",Texas,
,"Rockwall, TX",Texas,
,"Cleveland, TN",Tennessee,
,Fort Worth,Texas,
,"West Bend, WI",Wisconsin,
,"Sherman, TX",Texas,
,"Toronto, Ontario",New York,
,"Denton, TX",Texas,
,"Dallas, TX",Texas,
,"Huntsville, AL",Alabama,
,"Fayetteville, NC",North†Carolina,
,"Heath, TX",Texas,
,"Dallas, TX",Texas,
,Canada,Kentucky,
,"Grand Prairie, TX",Texas,
,"Cary, NC",North†Carolina,
,"Fort Worth, TX",Texas,
,"Mansfield, TX",Texas,
,"Bear, DE",Delaware,
,"Chicago, IL",Illinois,
,"Austin, TX",Texas,
,"Trotwood, OH",Ohio,
,"West Jordan, UT",Texas,
,"Harper Woods, MI",Michigan,
,"Columbus, Ohio",Illinois,
,"Dallas, TX",Texas,
,"Chicago, IL",Illinois,
,"Dallas, TX",Texas,
,"Bentonville, AR",Arkansas,
,"Dallas, TX",Texas,
,"Haslet, TX",Texas,
,"Flower Mound, TX",Texas,
,"Columbus, OH",Ohio,
,"Philadelphia, PA",Pennsylvania,
,"Topeka, KS",Kansas,
,"Chicago, IL",Illinois,
,Highland Park,New Jersey,
,"Denton, TX",Texas,
,"Norwood, NC",North†Carolina,
,"Concord, CA",California,
,"NRH, TX",Texas,
,Toronto,Ohio,
,"Middletown, PA",Pennsylvania,
,"Allen, TX",Texas,
,"Social Circle, GA",Georgia,
,"Dallas, TX",Texas,
,"Houston, TX",Texas,
,Mexico,Maine,
,"Allen, TX",Texas,
,"Fort Worth, TX",Texas,
,"Dallas, TX",Texas,
,"Dallas, TX",Texas,
,"Oak Cliff, Dallas",Pennsylvania,
,"Dallas, TX",Texas,
,"Los Angeles, CA",California,
,"Dale City, VA",Virginia,
,"Dallas, TX",Texas,
,"Dallas, TX",Texas,
,"Flower Mound, TX || Provo, UT",Texas,
,"Chicago, IL",Illinois,
,"DFW, TX",Texas,
,"St Paul, MN",Minnesota,
,"San Borja, Peru",Maine,
,"Eau Claire, WI",Wisconsin,
,"Irving, TX",Texas,
,"Tyler, TX",Texas,
,"Fort Worth, TX",Texas,
,"Fort Worth, TX",Texas,
,"Waco, TX",Texas,
,"Houston, TX",Texas,
,"Murfreesboro, TN",Tennessee,
,Earth,Texas,
,"Phoenix, AZ",Arizona,
,"San Antonio, TX",Texas,
,"Memphis, TN",Tennessee,
,Vancouver,Washington,
,"Denton, TX",Texas,
,"Atascocita, TX",Texas,
,Montreal,Wisconsin,
,"Dublin City, Ireland",West Virginia,
,"Dallas, TX",Texas,
,Dallas,Pennsylvania,
,"Durant, OK",Oklahoma,
,"Atlanta, GA",Georgia,
,"Fort Worth, TX",Texas,
,"Los Angeles, CA",California,
,Ohio,Illinois,
,"Rudersdal, Denmark",Maine,
,"Richmond, KY",Kentucky,
,"Dallas, TX",Texas,
,"Winston-Salem, NC",North†Carolina,
,IL,Illinois,
,"Austin, TX",Texas,
,Dallas,Pennsylvania,
,"Durham, NC",North†Carolina,
,"West Hartford, CT",Connecticut,
,"Southlake, TX",Texas,
,"Burleson, TX",Texas,
,"Fayetteville, AR",Arkansas,
,Herkimer,New York,
,Zion ,Illinois,
,"Granbury, TX",Texas,
,"Dallas, TX",Texas,
,"Flower Mound, TX",Texas,
,"Menomonie, WI",Wisconsin,
,Earth,Texas,
,"Dallas, TX",Texas,
,"Chicago, IL",Illinois,
,Berlin,Massachusetts,
,Dallas,Pennsylvania,
,"Dayton, OH",Ohio,
,Dallas,Pennsylvania,
,"New Bedford, MA",Massachusetts,
,"Dallas, TX",Texas,
,"Pottsboro, TX",Texas,
,"Olympia, WA",Washington,
,"Arlington, TX",Texas,
,Philadelphia,New York,
,"Carrollton, TX",Texas,
,"Plano, TX",Texas,
,Dallas,Pennsylvania,
,"Southlake, TX",Texas,
,"Fort Worth, TX",Texas,
,"Hickory Flat, MS",Mississippi,
,"Philadelphia, PA",Pennsylvania,
,"Houston, TX - Stillwater, OK",Oklahoma,
,"San Marcos, TX",Texas,
,Waco ,North Carolina,
,DFW,Texas,
,Seattle,Washington,
,"Allen, TX",Texas,
,"Fort Worth, TX",Texas,
,"Rockwall,TX",Texas,
,"Dallas, TX",Texas,
,DFW,Texas,
,"Austin, TX",Texas,
,"dreamville, NC",North†Carolina,
,"Dallas,TX",Texas,
,"Lubbock, TX",Texas,
,"Fort Worth, TX",Texas,
,Dallas,Pennsylvania,
,"Plano, TX ",Texas,
,"Golden State, California",Pennsylvania,
,"Red Deer, Alberta",Virginia,
,Dallas,Pennsylvania,
,Houston,Pennsylvania,
,"Valdosta, GA",Georgia,
,"New York, NY",New†York,
,"Oakland, CA",California,
,"Tyler,TX",Texas,
,"Denton, TX",Texas,
,"Frisco, TX",Texas,
,"Deerfield Beach, FL",Florida,
,"Given,WV",West Virginia,
,China,Texas,
,"Medicine Hat, Alberta",Virginia,
,"Dallas, TX",Texas,
,"Little Rock, AR",Arkansas,
,"Edinburgh, Scotland",Connecticut,
,"Denver, CO",Colorado,
,Dallas,Pennsylvania,
,"Philadelphia, PA",Pennsylvania,
,"Dallas, TX",Texas,
,"St Augustine Beach, FL",Florida,
,"Colleyville, TX",Texas,
,"Nashville, TN ",Tennessee,
,"Fort Worth, TX",Texas,
,Pierce,Nebraska,
,"San Diego, CA",California,
,"Dallas, TX",Texas,
,"Brooklyn, NY",New†York,
,"Keller, TX",Texas,
,Dallas,Pennsylvania,
,"Queens, NY",New†York,
,"Ennis, TX",Texas,
,Maryland ,New York,
,Stephenville,Texas,
,"Dallas, TX",Texas,
,"Fort Worth, TX",Texas,
,"Dallas, TX",Texas,
,"Boone, NC",North†Carolina,
,"Austin, TX ",Texas,
,"San Marcos, TX",Texas,
,"Silvis, IL",Illinois,
,"Austin, TX",Texas,
,"Fort Worth, TX",Texas,
,"Austin, TX",Texas,
,NC,North†Carolina,
,"Prosper, TX",Texas,
,"Strong Island, NY",New†York,
,"Lake View, Chicago",Illinois,
,"Tifton, GA",Georgia,
,"Lake Grove, NY",New†York,
,"Little Rock, AR",Arkansas,
,"Floresville, TX",Texas,
,"St Petersburg, FL",Florida,
,Phoenix,New York,
,"Lubbock, TX",Texas,
,"Fayetteville, NC",North†Carolina,
,"Tuscaloosa, AL",Alabama,
,"Charlotte, NC",North†Carolina,
,"Dallas, TX",Texas,
,"Raleigh, NC",North†Carolina,
,"Fort Worth, TX",Texas,
,"Houston, TX",Texas,
,"Dallas, TX",Texas,
,"Detroit, MI",Michigan,
,"St Leonards, Victoria",Virginia,
,NC,North†Carolina,
,"Culpeper, VA",Virginia,
,"Dallas-Fort Worth, TX",Texas,
,Sydney,Florida,
,"Dallas,TX",Texas,
,"Dover, PA",Pennsylvania,
,"McKinney, TX",Texas,
,"Ross, OH",Ohio,
,"Fort Worth, TX",Texas,
,"New Bedford, MA",Massachusetts,
,"Fort Worth, TX",Texas,
,"Bastrop, TX",Texas,
,"Grand Prairie, TX",Texas,
,"Birmingham, AL",Alabama,
,"Los Angeles, CA",California,
,"Portland, OR",Oregon,
,"Dallas, TX",Texas,
,"Cleveland,Ohio",Illinois,
,"Dallas,TX",Texas,
,"Austin, TX",Texas,
,"Dallas, TX",Texas,
